knowledge_id,type,lang,topic,statement,citation,parameters
K132,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha leseni ya dealer katika sekta ya uchimbaji: TZS 595,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=dealer licence;monthly_tzs=595000
K133,fact,en,minimum_wage,"Minimum monthly wage for broker licence in the mining sector: TZS 333,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=broker licence;monthly_tzs=333500
K133,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha leseni ya broker katika sekta ya uchimbaji: TZS 333,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=mining;sub_sector=broker licence;monthly_tzs=333500
K134,fact,en,minimum_wage,"Minimum monthly wage for pre/primary school in the education sector: TZS 276,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=pre/primary school;monthly_tzs=276500
K134,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha shule ya msingi katika sekta ya elimu: TZS 276,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=pre/primary school;monthly_tzs=276500
K135,fact,en,minimum_wage,"Minimum monthly wage for secondary school in the education sector: TZS 281,300 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=secondary school;monthly_tzs=281300
K135,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha sekondari katika sekta ya elimu: TZS 281,300 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=secondary school;monthly_tzs=281300
K136,fact,en,minimum_wage,"Minimum monthly wage for vocational in the education sector: TZS 281,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=vocational;monthly_tzs=281500
K136,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha ufundi katika sekta ya elimu: TZS 281,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=vocational;monthly_tzs=281500
K137,fact,en,minimum_wage,"Minimum monthly wage for higher education in the education sector: TZS 300,700 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=higher education;monthly_tzs=300700
K137,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha chuo kikuu katika sekta ya elimu: TZS 300,700 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=education;sub_sector=higher education;monthly_tzs=300700
K138,fact,en,minimum_wage,"Minimum monthly wage for general business in the finance sector: TZS 200,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=general business;monthly_tzs=200500
K138,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha biashara katika sekta ya fedha: TZS 200,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=general business;monthly_tzs=200500
K139,fact,en,minimum_wage,"Minimum monthly wage for commercial bank in the finance sector: TZS 733,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=commercial bank;monthly_tzs=733000
K139,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha benki ya kibiashara katika sekta ya fedha: TZS 733,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=commercial bank;monthly_tzs=733000
K140,fact,en,minimum_wage,"Minimum monthly wage for microfinance in the finance sector: TZS 699,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=microfinance;monthly_tzs=699000
K140,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha microfinance katika sekta ya fedha: TZS 699,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=microfinance;monthly_tzs=699000
K141,fact,en,minimum_wage,"Minimum monthly wage for insurance in the finance sector: TZS 699,700 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=insurance;monthly_tzs=699700
K141,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha bima katika sekta ya fedha: TZS 699,700 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=finance;sub_sector=insurance;monthly_tzs=699700
K142,fact,en,minimum_wage,"Minimum monthly wage for industrial in the industrial sector: TZS 200,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=industrial;sub_sector=industrial;monthly_tzs=200000
K142,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha viwanda katika sekta ya viwanda: TZS 200,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=industrial;sub_sector=industrial;monthly_tzs=200000
K143,fact,en,minimum_wage,"Minimum monthly wage for sport/arts/gaming in the sports sector: TZS 287,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=sports;sub_sector=sport/arts/gaming;monthly_tzs=287500
K143,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha michezo/sanaa katika sekta ya michezo: TZS 287,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=sports;sub_sector=sport/arts/gaming;monthly_tzs=287500
K144,fact,en,minimum_wage,"Minimum monthly wage for waste collection in the waste sector: TZS 188,500 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=waste;sub_sector=waste collection;monthly_tzs=188500
K144,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha ukusanyaji wa taka katika sekta ya taka: TZS 188,500 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=waste;sub_sector=waste collection;monthly_tzs=188500
K145,fact,en,minimum_wage,"Minimum monthly wage for other sector in the other sector: TZS 175,000 (effective 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=other;sub_sector=other sector;monthly_tzs=175000
K145,fact,sw,minimum_wage,"Kima cha chini cha mwezi cha nyingine katika sekta ya nyingine: TZS 175,000 (inaanza 1 Jan 2026, GN 605A/2025).",GN 605A/2025,sector=other;sub_sector=other sector;monthly_tzs=175000
