id,sentence,lang,extracted_name,extracted_occupation,extracted_sector,extracted_sub_sector,extracted_region,extracted_years,extracted_role,bot_response
I00882,"Mimi ni Hassan, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Hassan,cleaner,hospitality,1/2-star hotel,Mwanza,5,employee,Habari Hassan. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00883,"Jina langu ni Amina, mimi ni msafishaji ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Dar es Salaam,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00884,"Jina langu ni Amina, mimi ni msafishaji ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Dar es Salaam,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00885,"Jina langu ni Amina, mimi ni msafishaji ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Arusha,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00886,"Jina langu ni Amina, mimi ni msafishaji ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Arusha,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00887,"Jina langu ni Amina, mimi ni msafishaji ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Mwanza,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00888,"Jina langu ni Amina, mimi ni msafishaji ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Mwanza,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00889,"Habari, mimi ni Amina. Nafanya kazi ya msafishaji.",sw,Amina,cleaner,hospitality,1/2-star hotel,Dar es Salaam,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00890,"Habari, mimi ni Amina. Nafanya kazi ya msafishaji.",sw,Amina,cleaner,hospitality,1/2-star hotel,Dar es Salaam,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00891,"Habari, mimi ni Amina. Nafanya kazi ya msafishaji.",sw,Amina,cleaner,hospitality,1/2-star hotel,Arusha,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00892,"Habari, mimi ni Amina. Nafanya kazi ya msafishaji.",sw,Amina,cleaner,hospitality,1/2-star hotel,Arusha,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00893,"Habari, mimi ni Amina. Nafanya kazi ya msafishaji.",sw,Amina,cleaner,hospitality,1/2-star hotel,Mwanza,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00894,"Habari, mimi ni Amina. Nafanya kazi ya msafishaji.",sw,Amina,cleaner,hospitality,1/2-star hotel,Mwanza,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00895,"Mimi ni Amina, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Dar es Salaam,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00896,"Mimi ni Amina, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Dar es Salaam,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00897,"Mimi ni Amina, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Arusha,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00898,"Mimi ni Amina, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Arusha,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00899,"Mimi ni Amina, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Mwanza,1,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00900,"Mimi ni Amina, kazi yangu ni msafishaji, sekta ya ukarimu.",sw,Amina,cleaner,hospitality,1/2-star hotel,Mwanza,5,employee,Habari Amina. Naona ni msafishaji sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00901,"My name is John, I'm a cook in hospitality.",en,John,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello John. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00902,"My name is John, I'm a cook in hospitality.",en,John,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello John. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00903,"My name is John, I'm a cook in hospitality.",en,John,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello John. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00904,"My name is John, I'm a cook in hospitality.",en,John,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello John. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00905,"My name is John, I'm a cook in hospitality.",en,John,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello John. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00906,"My name is John, I'm a cook in hospitality.",en,John,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello John. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00907,"Hi, I'm John. I work as a cook.",en,John,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello John. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00908,"Hi, I'm John. I work as a cook.",en,John,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello John. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00909,"Hi, I'm John. I work as a cook.",en,John,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello John. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00910,"Hi, I'm John. I work as a cook.",en,John,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello John. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00911,"Hi, I'm John. I work as a cook.",en,John,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello John. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00912,"Hi, I'm John. I work as a cook.",en,John,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello John. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00913,"I am John, occupation cook, sector hospitality.",en,John,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello John. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00914,"I am John, occupation cook, sector hospitality.",en,John,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello John. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00915,"I am John, occupation cook, sector hospitality.",en,John,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello John. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00916,"I am John, occupation cook, sector hospitality.",en,John,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello John. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00917,"I am John, occupation cook, sector hospitality.",en,John,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello John. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00918,"I am John, occupation cook, sector hospitality.",en,John,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello John. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00919,"My name is Mary, I'm a cook in hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00920,"My name is Mary, I'm a cook in hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00921,"My name is Mary, I'm a cook in hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00922,"My name is Mary, I'm a cook in hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00923,"My name is Mary, I'm a cook in hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00924,"My name is Mary, I'm a cook in hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00925,"Hi, I'm Mary. I work as a cook.",en,Mary,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00926,"Hi, I'm Mary. I work as a cook.",en,Mary,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00927,"Hi, I'm Mary. I work as a cook.",en,Mary,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00928,"Hi, I'm Mary. I work as a cook.",en,Mary,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00929,"Hi, I'm Mary. I work as a cook.",en,Mary,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00930,"Hi, I'm Mary. I work as a cook.",en,Mary,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00931,"I am Mary, occupation cook, sector hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00932,"I am Mary, occupation cook, sector hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00933,"I am Mary, occupation cook, sector hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00934,"I am Mary, occupation cook, sector hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00935,"I am Mary, occupation cook, sector hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Mary. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00936,"I am Mary, occupation cook, sector hospitality.",en,Mary,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Mary. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00937,"My name is James, I'm a cook in hospitality.",en,James,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello James. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00938,"My name is James, I'm a cook in hospitality.",en,James,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello James. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00939,"My name is James, I'm a cook in hospitality.",en,James,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello James. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00940,"My name is James, I'm a cook in hospitality.",en,James,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello James. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00941,"My name is James, I'm a cook in hospitality.",en,James,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello James. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00942,"My name is James, I'm a cook in hospitality.",en,James,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello James. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00943,"Hi, I'm James. I work as a cook.",en,James,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello James. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00944,"Hi, I'm James. I work as a cook.",en,James,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello James. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00945,"Hi, I'm James. I work as a cook.",en,James,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello James. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00946,"Hi, I'm James. I work as a cook.",en,James,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello James. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00947,"Hi, I'm James. I work as a cook.",en,James,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello James. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00948,"Hi, I'm James. I work as a cook.",en,James,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello James. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00949,"I am James, occupation cook, sector hospitality.",en,James,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello James. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00950,"I am James, occupation cook, sector hospitality.",en,James,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello James. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00951,"I am James, occupation cook, sector hospitality.",en,James,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello James. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00952,"I am James, occupation cook, sector hospitality.",en,James,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello James. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00953,"I am James, occupation cook, sector hospitality.",en,James,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello James. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00954,"I am James, occupation cook, sector hospitality.",en,James,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello James. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00955,"My name is Grace, I'm a cook in hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00956,"My name is Grace, I'm a cook in hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00957,"My name is Grace, I'm a cook in hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00958,"My name is Grace, I'm a cook in hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00959,"My name is Grace, I'm a cook in hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00960,"My name is Grace, I'm a cook in hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00961,"Hi, I'm Grace. I work as a cook.",en,Grace,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00962,"Hi, I'm Grace. I work as a cook.",en,Grace,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00963,"Hi, I'm Grace. I work as a cook.",en,Grace,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00964,"Hi, I'm Grace. I work as a cook.",en,Grace,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00965,"Hi, I'm Grace. I work as a cook.",en,Grace,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00966,"Hi, I'm Grace. I work as a cook.",en,Grace,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00967,"I am Grace, occupation cook, sector hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00968,"I am Grace, occupation cook, sector hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00969,"I am Grace, occupation cook, sector hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00970,"I am Grace, occupation cook, sector hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00971,"I am Grace, occupation cook, sector hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Grace. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00972,"I am Grace, occupation cook, sector hospitality.",en,Grace,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Grace. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00973,"My name is Joseph, I'm a cook in hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00974,"My name is Joseph, I'm a cook in hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00975,"My name is Joseph, I'm a cook in hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00976,"My name is Joseph, I'm a cook in hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00977,"My name is Joseph, I'm a cook in hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00978,"My name is Joseph, I'm a cook in hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00979,"Hi, I'm Joseph. I work as a cook.",en,Joseph,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00980,"Hi, I'm Joseph. I work as a cook.",en,Joseph,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00981,"Hi, I'm Joseph. I work as a cook.",en,Joseph,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00982,"Hi, I'm Joseph. I work as a cook.",en,Joseph,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00983,"Hi, I'm Joseph. I work as a cook.",en,Joseph,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00984,"Hi, I'm Joseph. I work as a cook.",en,Joseph,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00985,"I am Joseph, occupation cook, sector hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00986,"I am Joseph, occupation cook, sector hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Dar es Salaam. What employment question can I help with?
I00987,"I am Joseph, occupation cook, sector hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Arusha,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00988,"I am Joseph, occupation cook, sector hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Arusha,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Arusha. What employment question can I help with?
I00989,"I am Joseph, occupation cook, sector hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00990,"I am Joseph, occupation cook, sector hospitality.",en,Joseph,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Hello Joseph. I see you're a cook in the hospitality sector based in Mwanza. What employment question can I help with?
I00991,"Jina langu ni Asha, mimi ni mpishi ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00992,"Jina langu ni Asha, mimi ni mpishi ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00993,"Jina langu ni Asha, mimi ni mpishi ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Arusha,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00994,"Jina langu ni Asha, mimi ni mpishi ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Arusha,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I00995,"Jina langu ni Asha, mimi ni mpishi ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00996,"Jina langu ni Asha, mimi ni mpishi ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I00997,"Habari, mimi ni Asha. Nafanya kazi ya mpishi.",sw,Asha,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00998,"Habari, mimi ni Asha. Nafanya kazi ya mpishi.",sw,Asha,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I00999,"Habari, mimi ni Asha. Nafanya kazi ya mpishi.",sw,Asha,cook,hospitality,5/4-star hotel,Arusha,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I01000,"Habari, mimi ni Asha. Nafanya kazi ya mpishi.",sw,Asha,cook,hospitality,5/4-star hotel,Arusha,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I01001,"Habari, mimi ni Asha. Nafanya kazi ya mpishi.",sw,Asha,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I01002,"Habari, mimi ni Asha. Nafanya kazi ya mpishi.",sw,Asha,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I01003,"Mimi ni Asha, kazi yangu ni mpishi, sekta ya ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I01004,"Mimi ni Asha, kazi yangu ni mpishi, sekta ya ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I01005,"Mimi ni Asha, kazi yangu ni mpishi, sekta ya ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Arusha,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I01006,"Mimi ni Asha, kazi yangu ni mpishi, sekta ya ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Arusha,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I01007,"Mimi ni Asha, kazi yangu ni mpishi, sekta ya ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I01008,"Mimi ni Asha, kazi yangu ni mpishi, sekta ya ukarimu.",sw,Asha,cook,hospitality,5/4-star hotel,Mwanza,5,employee,Habari Asha. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
I01009,"Jina langu ni Juma, mimi ni mpishi ukarimu.",sw,Juma,cook,hospitality,5/4-star hotel,Dar es Salaam,1,employee,Habari Juma. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I01010,"Jina langu ni Juma, mimi ni mpishi ukarimu.",sw,Juma,cook,hospitality,5/4-star hotel,Dar es Salaam,5,employee,Habari Juma. Naona ni mpishi sekta ya ukarimu kutoka Dar es Salaam. Una swali gani la kazi?
I01011,"Jina langu ni Juma, mimi ni mpishi ukarimu.",sw,Juma,cook,hospitality,5/4-star hotel,Arusha,1,employee,Habari Juma. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I01012,"Jina langu ni Juma, mimi ni mpishi ukarimu.",sw,Juma,cook,hospitality,5/4-star hotel,Arusha,5,employee,Habari Juma. Naona ni mpishi sekta ya ukarimu kutoka Arusha. Una swali gani la kazi?
I01013,"Jina langu ni Juma, mimi ni mpishi ukarimu.",sw,Juma,cook,hospitality,5/4-star hotel,Mwanza,1,employee,Habari Juma. Naona ni mpishi sekta ya ukarimu kutoka Mwanza. Una swali gani la kazi?
